No,Target
13300244,0
13305420,0
12751484,0
13921720,0
11926643,0
13525088,1
5904478,0
6484236,0
3428878,0
3783822,1
4475311,0
4134201,0
5085853,0
2886400,0
4708170,0
2854675,0
3722892,0
3226138,0
3654704,0
4502560,0
2509846,0
2979311,0
3935614,0
4183078,0
4438898,0
4562913,0
4792483,0
4906401,0
2751255,0
4055361,0
4091583,0
5021752,0
14209844,0
12988162,0
13484952,1
14178582,0
13462648,0
5893538,0
6180196,1
6407115,0
6570997,0
6747522,0
7112977,0
7397980,0
2674770,0
2986436,1
4240885,1
2908034,0
4327658,0
4492361,0
2576496,0
2784338,1
3310444,0
12041192,0
12783892,1
12006852,0
13922504,1
12744086,0
6091099,0
6924041,0
6974742,1
7016624,0
2915101,1
3165802,0
2998939,0
2850485,0
2912737,0
3645915,0
4888170,0
4939086,0
5033108,0
2655232,1
2702794,0
4038994,0
4461980,0
4311611,0
4476776,0
2860575,1
3527729,0
3632236,0
